
   8.3144717361065545E-003
30
   2.0000000000000000        2.2176504798983463        2.4589868254966825        2.7265866872418463        3.0233081039831258        3.3523203712511718        3.7171374815222329        4.1216557218802601        4.5701959458050219        5.0675484465608864        5.6190259357527967        6.2305175728945059        6.9085555282687237        7.6603804848658452        8.4940229448541444        9.4183867146348668        10.443345491526330        11.579845716667570        12.840023629120827        14.237343075954708        15.786726233331295        17.504718354811441        19.409674613073623        21.521938311097884        23.864069743586171        26.461079611241445        29.340714586456741        32.533726706985505        36.074212893854337        40.000000000000000     
  -14.309038102339251       0.14546926160252430                       500
 0      -1.430904E+001      -1.304856E+001       0.141421
 1      -1.427886E+001      -1.304856E+001       0.148918
 2      -1.426182E+001      -1.304856E+001       0.156812
 3      -1.426028E+001      -1.303082E+001       0.165124
 4      -1.423352E+001      -1.304856E+001       0.173877
 5      -1.423853E+001      -1.304856E+001       0.183093
 6      -1.421405E+001      -1.304856E+001       0.192799
 7      -1.420046E+001      -1.295641E+001       0.203019
 8      -1.416817E+001      -1.261325E+001       0.213780
 9      -1.417562E+001      -1.248466E+001       0.225112
10      -1.413379E+001      -1.214538E+001       0.237045
11      -1.407549E+001      -1.193524E+001       0.249610
12      -1.406591E+001      -1.102970E+001       0.262841
13      -1.400087E+001      -1.112400E+001       0.276774
14      -1.395506E+001      -1.057388E+001       0.291445
15      -1.386766E+001      -9.476311E+000       0.306894
16      -1.375911E+001      -8.816218E+000       0.355478
17      -1.364148E+001      -8.126241E+000       0.411753
18      -1.341354E+001      -7.546269E+000       0.476937
19      -1.346443E+001      -6.653275E+000       0.502218
20      -1.304856E+001      -5.854318E+000       0.575907
21      -1.331903E+001      -5.161050E+000       0.606434
22      -1.318504E+001      -4.324630E+000       0.668011
23      -1.308331E+001      -4.398990E+000       0.773763
24      -1.334805E+001      -3.625979E+000       0.818746
25      -1.306277E+001      -3.013912E+000       0.997234
26      -1.320188E+001      -2.269756E+000       1.132119
27      -1.304856E+001      -2.003493E+000       1.216335
28      -1.304856E+001      -1.318606E+000       1.320016
29      -1.311742E+001       1.454693E-001       1.483573
