
   8.3144717361065545E-003
30
   2.0000000000000000        2.2176504798983463        2.4589868254966825        2.7265866872418463        3.0233081039831258        3.3523203712511718        3.7171374815222329        4.1216557218802601        4.5701959458050219        5.0675484465608864        5.6190259357527967        6.2305175728945059        6.9085555282687237        7.6603804848658452        8.4940229448541444        9.4183867146348668        10.443345491526330        11.579845716667570        12.840023629120827        14.237343075954708        15.786726233331295        17.504718354811441        19.409674613073623        21.521938311097884        23.864069743586171        26.461079611241445        29.340714586456741        32.533726706985505        36.074212893854337        40.000000000000000     
  -290.10977681239643       -139.79792748583407                       500
 0      -2.901098E+002      -2.841180E+002       0.127279
 1      -2.897948E+002      -2.838351E+002       0.134026
 2      -2.894394E+002      -2.840640E+002       0.141130
 3      -2.890378E+002      -2.840047E+002       0.148611
 4      -2.888638E+002      -2.836734E+002       0.156489
 5      -2.881062E+002      -2.837829E+002       0.164784
 6      -2.875882E+002      -2.829470E+002       0.173519
 7      -2.868180E+002      -2.819233E+002       0.182717
 8      -2.862251E+002      -2.816453E+002       0.192402
 9      -2.856651E+002      -2.806455E+002       0.202601
10      -2.850425E+002      -2.789399E+002       0.213340
11      -2.841394E+002      -2.774806E+002       0.224649
12      -2.841261E+002      -2.760948E+002       0.236557
13      -2.842295E+002      -2.733358E+002       0.249097
14      -2.841180E+002      -2.722304E+002       0.262301
15      -2.841180E+002      -2.690077E+002       0.276205
16      -2.841180E+002      -2.659844E+002       0.290845
17      -2.841180E+002      -2.630091E+002       0.340292
18      -2.842203E+002      -2.574849E+002       0.358330
19      -2.841724E+002      -2.557164E+002       0.377324
20      -2.841180E+002      -2.481103E+002       0.397325
21      -2.841180E+002      -2.410989E+002       0.418386
22      -2.841327E+002      -2.220905E+002       0.440564
23      -2.841180E+002      -1.990247E+002       0.463917
24      -2.841341E+002      -1.877077E+002       0.488509
25      -2.841180E+002      -1.768148E+002       0.514403
26      -2.841219E+002      -1.683488E+002       0.541671
27      -2.841180E+002      -1.518610E+002       0.570383
28      -2.841180E+002      -1.494653E+002       0.660680
29      -2.841180E+002      -1.397979E+002       0.695701
